Ind_Ext,Force_Ext
-1.21e-05,5.4e-13
-1.2e-05,3.35e-12
-1.2e-05,2.71e-12
-1.2e-05,2.41e-12
-1.2e-05,3.05e-12
-1.2e-05,2.54e-12
-1.2e-05,3.83e-12
-1.2e-05,2.8e-12
-1.2e-05,3.84e-12
-1.2e-05,3.1e-12
-1.2e-05,3.4e-12
-1.2e-05,3.51e-12
-1.2e-05,2.21e-12
-1.19e-05,2.64e-12
-1.19e-05,2.13e-12
-1.19e-05,2.46e-12
-1.19e-05,2.29e-12
-1.19e-05,3.09e-12
-1.19e-05,4.23e-12
-1.19e-05,3.31e-12
-1.19e-05,3.5e-12
-1.19e-05,4.02e-12
-1.19e-05,4.08e-12
-1.18e-05,4.32e-12
-1.18e-05,4.1e-12
-1.18e-05,3.96e-12
-1.18e-05,3.44e-12
-1.18e-05,3.32e-12
-1.18e-05,3.35e-12
-1.18e-05,4.49e-12
-1.18e-05,4.45e-12
-1.18e-05,4.28e-12
-1.18e-05,4.94e-12
-1.18e-05,5.09e-12
-1.17e-05,5.02e-12
-1.17e-05,4.72e-12
-1.17e-05,5.27e-12
-1.17e-05,5.19e-12
-1.17e-05,5.9e-12
-1.17e-05,5.71e-12
-1.17e-05,5.45e-12
-1.17e-05,5.83e-12
-1.17e-05,6.22e-12
-1.17e-05,6.49e-12
-1.16e-05,6.3e-12
-1.16e-05,7.26e-12
-1.16e-05,7.26e-12
-1.16e-05,8.38e-12
-1.16e-05,7.23e-12
-1.16e-05,7.12e-12
-1.16e-05,7.63e-12
-1.16e-05,9.3e-12
-1.16e-05,9.28e-12
-1.15e-05,8.98e-12
-1.15e-05,9.55e-12
-1.15e-05,8.54e-12
-1.15e-05,9.77e-12
-1.15e-05,9.54e-12
-1.15e-05,9.31e-12
-1.15e-05,9.35e-12
-1.15e-05,9.47e-12
-1.15e-05,1.02e-11
-1.15e-05,9.92e-12
-1.14e-05,1.05e-11
-1.14e-05,1.03e-11
-1.14e-05,1.04e-11
-1.14e-05,1.04e-11
-1.14e-05,1.01e-11
-1.14e-05,1.04e-11
-1.14e-05,1.01e-11
-1.14e-05,1.03e-11
-1.14e-05,9.74e-12
-1.13e-05,9.63e-12
-1.13e-05,9.27e-12
-1.13e-05,9.79e-12
-1.13e-05,9.98e-12
-1.13e-05,9.81e-12
-1.13e-05,9.83e-12
-1.13e-05,9.81e-12
-1.13e-05,1.18e-11
-1.12e-05,1.11e-11
-1.12e-05,1.08e-11
-1.12e-05,1.11e-11
-1.12e-05,1.02e-11
-1.12e-05,1.16e-11
-1.12e-05,1.12e-11
-1.12e-05,1.11e-11
-1.12e-05,1.08e-11
-1.12e-05,9.96e-12
-1.11e-05,1.08e-11
-1.11e-05,1.03e-11
-1.11e-05,1.16e-11
-1.11e-05,9.62e-12
-1.11e-05,9.77e-12
-1.11e-05,9.47e-12
-1.11e-05,1.02e-11
-1.11e-05,1.1e-11
-1.1e-05,1.06e-11
-1.1e-05,1.17e-11
-1.1e-05,1.18e-11
-1.1e-05,1.25e-11
-1.1e-05,1.12e-11
-1.1e-05,1.11e-11
-1.1e-05,1.09e-11
-1.1e-05,1.19e-11
-1.09e-05,1.3e-11
-1.09e-05,1.23e-11
-1.09e-05,1.14e-11
-1.09e-05,9.92e-12
-1.09e-05,1.01e-11
-1.09e-05,1.02e-11
-1.09e-05,1.08e-11
-1.09e-05,1.03e-11
-1.08e-05,1.02e-11
-1.08e-05,9.92e-12
-1.08e-05,1.04e-11
-1.08e-05,1.06e-11
-1.08e-05,9.87e-12
-1.08e-05,9.66e-12
-1.08e-05,9.74e-12
-1.07e-05,9.43e-12
-1.07e-05,9.95e-12
-1.07e-05,8.9e-12
-1.07e-05,1.02e-11
-1.07e-05,1.03e-11
-1.07e-05,9.97e-12
-1.07e-05,1.05e-11
-1.06e-05,9.67e-12
-1.06e-05,9.61e-12
-1.06e-05,8.4e-12
-1.06e-05,8.78e-12
-1.06e-05,8.78e-12
-1.06e-05,1.01e-11
-1.06e-05,1.07e-11
-1.05e-05,9.86e-12
-1.05e-05,9.57e-12
-1.05e-05,9.84e-12
-1.05e-05,9.58e-12
-1.05e-05,9.4e-12
-1.05e-05,1e-11
-1.05e-05,1.06e-11
-1.04e-05,1.04e-11
-1.04e-05,1.1e-11
-1.04e-05,1.06e-11
-1.04e-05,1.02e-11
-1.04e-05,1.07e-11
-1.04e-05,9.57e-12
-1.04e-05,9.97e-12
-1.03e-05,1.05e-11
-1.03e-05,1.11e-11
-1.03e-05,9.09e-12
-1.03e-05,8.97e-12
-1.03e-05,7.99e-12
-1.03e-05,7.8e-12
-1.03e-05,7.75e-12
-1.02e-05,7.39e-12
-1.02e-05,7.05e-12
-1.02e-05,6.48e-12
-1.02e-05,6.66e-12
-1.02e-05,5.98e-12
-1.02e-05,6.71e-12
-1.01e-05,5.85e-12
-1.01e-05,6.01e-12
-1.01e-05,4.76e-12
-1.01e-05,5.08e-12
-1.01e-05,5.79e-12
-1.01e-05,4.05e-12
-1e-05,6e-12
-1e-05,5.37e-12
-1e-05,4.92e-12
-1e-05,4.17e-12
-9.98e-06,3.75e-12
-9.97e-06,4.25e-12
-9.95e-06,4.07e-12
-9.93e-06,4.63e-12
-9.92e-06,2.75e-12
-9.9e-06,4.36e-12
-9.88e-06,2.47e-12
-9.87e-06,3.09e-12
-9.85e-06,2.69e-12
-9.83e-06,1.82e-12
-9.82e-06,2.42e-12
-9.8e-06,3e-13
-9.78e-06,1.37e-12
-9.77e-06,2.33e-13
-9.75e-06,-2.51e-14
-9.73e-06,-3.54e-13
-9.72e-06,-1.16e-12
-9.7e-06,-2.55e-12
-9.68e-06,-3.04e-12
-9.67e-06,-2.04e-12
-9.65e-06,-4.65e-12
-9.63e-06,-2.54e-12
-9.61e-06,-3.95e-12
-9.6e-06,-4.52e-12
-9.58e-06,-5.39e-12
-9.56e-06,-6.45e-12
-9.54e-06,-5.39e-12
