Ind_Ext,Force_Ext
-1.22e-05,6.33e-12
-1.22e-05,1.31e-11
-1.22e-05,1.56e-11
-1.22e-05,1.6e-11
-1.22e-05,1.53e-11
-1.22e-05,1.67e-11
-1.22e-05,1.65e-11
-1.22e-05,1.65e-11
-1.22e-05,1.48e-11
-1.22e-05,1.55e-11
-1.22e-05,1.57e-11
-1.22e-05,1.6e-11
-1.21e-05,1.56e-11
-1.21e-05,1.51e-11
-1.21e-05,1.66e-11
-1.21e-05,1.52e-11
-1.21e-05,1.61e-11
-1.21e-05,1.56e-11
-1.21e-05,1.68e-11
-1.21e-05,1.55e-11
-1.21e-05,1.5e-11
-1.21e-05,1.59e-11
-1.21e-05,1.41e-11
-1.21e-05,1.66e-11
-1.2e-05,1.63e-11
-1.2e-05,1.71e-11
-1.2e-05,1.56e-11
-1.2e-05,1.61e-11
-1.2e-05,1.72e-11
-1.2e-05,1.67e-11
-1.2e-05,1.74e-11
-1.2e-05,1.61e-11
-1.2e-05,1.79e-11
-1.2e-05,1.79e-11
-1.19e-05,1.87e-11
-1.19e-05,1.77e-11
-1.19e-05,1.69e-11
-1.19e-05,1.62e-11
-1.19e-05,1.71e-11
-1.19e-05,1.75e-11
-1.19e-05,1.74e-11
-1.19e-05,1.94e-11
-1.19e-05,1.8e-11
-1.19e-05,1.92e-11
-1.19e-05,1.93e-11
-1.18e-05,1.95e-11
-1.18e-05,1.85e-11
-1.18e-05,1.91e-11
-1.18e-05,1.96e-11
-1.18e-05,1.92e-11
-1.18e-05,1.86e-11
-1.18e-05,1.85e-11
-1.18e-05,1.95e-11
-1.18e-05,1.96e-11
-1.18e-05,1.99e-11
-1.17e-05,1.99e-11
-1.17e-05,2.03e-11
-1.17e-05,2e-11
-1.17e-05,1.98e-11
-1.17e-05,1.94e-11
-1.17e-05,1.94e-11
-1.17e-05,1.88e-11
-1.17e-05,1.98e-11
-1.17e-05,1.89e-11
-1.16e-05,2.02e-11
-1.16e-05,2.16e-11
-1.16e-05,2.08e-11
-1.16e-05,2.16e-11
-1.16e-05,2.02e-11
-1.16e-05,2.15e-11
-1.16e-05,2.08e-11
-1.16e-05,2.19e-11
-1.16e-05,2.15e-11
-1.15e-05,2.11e-11
-1.15e-05,2.13e-11
-1.15e-05,2.1e-11
-1.15e-05,2.31e-11
-1.15e-05,2.01e-11
-1.15e-05,2.22e-11
-1.15e-05,2.19e-11
-1.15e-05,2.23e-11
-1.15e-05,2.18e-11
-1.14e-05,2.07e-11
-1.14e-05,2.29e-11
-1.14e-05,2.15e-11
-1.14e-05,2.27e-11
-1.14e-05,2.23e-11
-1.14e-05,2.26e-11
-1.14e-05,2.25e-11
-1.14e-05,2.25e-11
-1.14e-05,2.31e-11
-1.13e-05,2.16e-11
-1.13e-05,2.29e-11
-1.13e-05,2.23e-11
-1.13e-05,2.29e-11
-1.13e-05,2.31e-11
-1.13e-05,2.4e-11
-1.13e-05,2.29e-11
-1.13e-05,2.29e-11
-1.12e-05,2.31e-11
-1.12e-05,2.26e-11
-1.12e-05,2.21e-11
-1.12e-05,2.35e-11
-1.12e-05,2.43e-11
-1.12e-05,2.42e-11
-1.12e-05,2.48e-11
-1.12e-05,2.69e-11
-1.12e-05,2.64e-11
-1.11e-05,2.82e-11
-1.11e-05,2.6e-11
-1.11e-05,2.84e-11
-1.11e-05,2.62e-11
-1.11e-05,2.76e-11
-1.11e-05,2.83e-11
-1.11e-05,2.81e-11
-1.1e-05,3.02e-11
-1.1e-05,2.8e-11
-1.1e-05,3e-11
-1.1e-05,3.03e-11
-1.1e-05,3.2e-11
-1.1e-05,3.09e-11
-1.1e-05,3.08e-11
-1.1e-05,3.38e-11
-1.09e-05,3.2e-11
-1.09e-05,3.43e-11
-1.09e-05,3.29e-11
-1.09e-05,3.39e-11
-1.09e-05,3.42e-11
-1.09e-05,3.43e-11
-1.09e-05,3.59e-11
-1.08e-05,3.53e-11
-1.08e-05,3.62e-11
-1.08e-05,3.51e-11
-1.08e-05,3.83e-11
-1.08e-05,3.74e-11
-1.08e-05,3.87e-11
-1.08e-05,3.85e-11
-1.08e-05,3.78e-11
-1.07e-05,4.16e-11
-1.07e-05,4e-11
-1.07e-05,4.24e-11
-1.07e-05,4.12e-11
-1.07e-05,4.49e-11
-1.07e-05,4.36e-11
-1.07e-05,4.26e-11
-1.06e-05,4.4e-11
-1.06e-05,4.41e-11
-1.06e-05,4.57e-11
-1.06e-05,4.52e-11
-1.06e-05,4.71e-11
-1.06e-05,4.68e-11
-1.06e-05,4.91e-11
-1.05e-05,4.99e-11
-1.05e-05,4.99e-11
-1.05e-05,5.15e-11
-1.05e-05,5.05e-11
-1.05e-05,5.36e-11
-1.05e-05,5.19e-11
-1.04e-05,5.44e-11
-1.04e-05,5.65e-11
-1.04e-05,5.57e-11
-1.04e-05,5.8e-11
-1.04e-05,5.8e-11
-1.04e-05,6.16e-11
-1.04e-05,6.06e-11
-1.03e-05,6.21e-11
-1.03e-05,6.23e-11
-1.03e-05,6.24e-11
-1.03e-05,6.44e-11
-1.03e-05,6.52e-11
-1.03e-05,6.65e-11
-1.02e-05,6.49e-11
-1.02e-05,6.79e-11
-1.02e-05,6.78e-11
-1.02e-05,6.95e-11
-1.02e-05,7e-11
-1.02e-05,7.21e-11
-1.02e-05,7.33e-11
-1.01e-05,7.21e-11
-1.01e-05,7.57e-11
-1.01e-05,7.67e-11
-1.01e-05,7.92e-11
-1.01e-05,7.81e-11
-1.01e-05,7.81e-11
-1e-05,8.06e-11
-1e-05,8.06e-11
-1e-05,8.27e-11
-9.99e-06,8.28e-11
-9.97e-06,8.48e-11
-9.95e-06,8.73e-11
-9.94e-06,8.82e-11
-9.92e-06,8.98e-11
-9.9e-06,9.07e-11
-9.89e-06,9.48e-11
-9.87e-06,9.46e-11
-9.85e-06,9.8e-11
-9.84e-06,9.8e-11
-9.82e-06,1e-10
-9.8e-06,1.02e-10
-9.78e-06,1.03e-10
-9.77e-06,1.08e-10
-9.75e-06,1.09e-10
