Ind_Ext,Force_Ext
-1.2e-05,-7.33e-13
-1.2e-05,3.69e-12
-1.2e-05,2.54e-12
-1.2e-05,3.46e-12
-1.2e-05,3.36e-12
-1.2e-05,3.95e-12
-1.2e-05,4.49e-12
-1.2e-05,4.11e-12
-1.2e-05,5.55e-12
-1.2e-05,3.6e-12
-1.19e-05,5.06e-12
-1.19e-05,3.92e-12
-1.19e-05,5.68e-12
-1.19e-05,5.05e-12
-1.19e-05,4.59e-12
-1.19e-05,4.01e-12
-1.19e-05,4.91e-12
-1.19e-05,4.81e-12
-1.19e-05,4.04e-12
-1.19e-05,5.04e-12
-1.19e-05,5.79e-12
-1.18e-05,4.96e-12
-1.18e-05,4.66e-12
-1.18e-05,4.9e-12
-1.18e-05,6.09e-12
-1.18e-05,4.97e-12
-1.18e-05,4.97e-12
-1.18e-05,4.28e-12
-1.18e-05,5.27e-12
-1.18e-05,6.65e-12
-1.18e-05,6.32e-12
-1.17e-05,5.99e-12
-1.17e-05,5.64e-12
-1.17e-05,5.95e-12
-1.17e-05,5.85e-12
-1.17e-05,5.48e-12
-1.17e-05,6.69e-12
-1.17e-05,7.46e-12
-1.17e-05,8.12e-12
-1.17e-05,7.11e-12
-1.17e-05,8.34e-12
-1.16e-05,9.28e-12
-1.16e-05,8.74e-12
-1.16e-05,9.49e-12
-1.16e-05,8.1e-12
-1.16e-05,9.06e-12
-1.16e-05,8.26e-12
-1.16e-05,9.17e-12
-1.16e-05,8.41e-12
-1.16e-05,9.06e-12
-1.16e-05,7.79e-12
-1.15e-05,8.39e-12
-1.15e-05,8.07e-12
-1.15e-05,8.6e-12
-1.15e-05,9.27e-12
-1.15e-05,9.59e-12
-1.15e-05,1.13e-11
-1.15e-05,1.13e-11
-1.15e-05,1.11e-11
-1.15e-05,1.07e-11
-1.15e-05,1.1e-11
-1.14e-05,1.1e-11
-1.14e-05,1.1e-11
-1.14e-05,1.25e-11
-1.14e-05,1.2e-11
-1.14e-05,1.23e-11
-1.14e-05,1.3e-11
-1.14e-05,1.32e-11
-1.14e-05,1.36e-11
-1.14e-05,1.37e-11
-1.13e-05,1.39e-11
-1.13e-05,1.38e-11
-1.13e-05,1.51e-11
-1.13e-05,1.39e-11
-1.13e-05,1.47e-11
-1.13e-05,1.42e-11
-1.13e-05,1.48e-11
-1.13e-05,1.57e-11
-1.12e-05,1.44e-11
-1.12e-05,1.41e-11
-1.12e-05,1.44e-11
-1.12e-05,1.69e-11
-1.12e-05,1.66e-11
-1.12e-05,1.64e-11
-1.12e-05,1.63e-11
-1.12e-05,1.64e-11
-1.12e-05,1.73e-11
-1.11e-05,1.69e-11
-1.11e-05,1.75e-11
-1.11e-05,1.72e-11
-1.11e-05,1.81e-11
-1.11e-05,1.87e-11
-1.11e-05,1.77e-11
-1.11e-05,1.82e-11
-1.11e-05,1.77e-11
-1.1e-05,1.92e-11
-1.1e-05,1.76e-11
-1.1e-05,1.87e-11
-1.1e-05,1.81e-11
-1.1e-05,1.79e-11
-1.1e-05,1.96e-11
-1.1e-05,1.86e-11
-1.1e-05,2.04e-11
-1.09e-05,1.88e-11
-1.09e-05,1.98e-11
-1.09e-05,2.03e-11
-1.09e-05,1.96e-11
-1.09e-05,2.04e-11
-1.09e-05,2.04e-11
-1.09e-05,2.09e-11
-1.09e-05,2.03e-11
-1.08e-05,2.14e-11
-1.08e-05,2.16e-11
-1.08e-05,2.14e-11
-1.08e-05,2.13e-11
-1.08e-05,2.01e-11
-1.08e-05,2.23e-11
-1.08e-05,2.18e-11
-1.07e-05,2.28e-11
-1.07e-05,2.25e-11
-1.07e-05,2.36e-11
-1.07e-05,2.26e-11
-1.07e-05,2.21e-11
-1.07e-05,2.27e-11
-1.07e-05,2.22e-11
-1.06e-05,2.29e-11
-1.06e-05,2.42e-11
-1.06e-05,2.41e-11
-1.06e-05,2.39e-11
-1.06e-05,2.42e-11
-1.06e-05,2.4e-11
-1.06e-05,2.34e-11
-1.06e-05,2.4e-11
-1.05e-05,2.39e-11
-1.05e-05,2.49e-11
-1.05e-05,2.44e-11
-1.05e-05,2.54e-11
-1.05e-05,2.44e-11
-1.05e-05,2.46e-11
-1.04e-05,2.57e-11
-1.04e-05,2.38e-11
-1.04e-05,2.53e-11
-1.04e-05,2.51e-11
-1.04e-05,2.44e-11
-1.04e-05,2.51e-11
-1.04e-05,2.53e-11
-1.03e-05,2.51e-11
-1.03e-05,2.52e-11
-1.03e-05,2.6e-11
-1.03e-05,2.45e-11
-1.03e-05,2.43e-11
-1.03e-05,2.43e-11
-1.03e-05,2.56e-11
-1.02e-05,2.54e-11
-1.02e-05,2.58e-11
-1.02e-05,2.58e-11
-1.02e-05,2.48e-11
-1.02e-05,2.5e-11
-1.02e-05,2.44e-11
-1.01e-05,2.51e-11
-1.01e-05,2.56e-11
-1.01e-05,2.43e-11
-1.01e-05,2.41e-11
-1.01e-05,2.48e-11
-1.01e-05,2.48e-11
-1.01e-05,2.51e-11
-1e-05,2.65e-11
-1e-05,2.55e-11
-1e-05,2.66e-11
-9.99e-06,2.67e-11
-9.97e-06,2.6e-11
-9.96e-06,2.63e-11
-9.94e-06,2.8e-11
-9.92e-06,2.79e-11
-9.91e-06,2.65e-11
-9.89e-06,2.85e-11
-9.87e-06,2.84e-11
-9.86e-06,2.8e-11
-9.84e-06,2.81e-11
-9.82e-06,2.79e-11
-9.81e-06,2.94e-11
-9.79e-06,2.77e-11
-9.77e-06,2.9e-11
-9.76e-06,2.98e-11
-9.74e-06,3.03e-11
-9.72e-06,2.96e-11
-9.71e-06,3e-11
-9.69e-06,3.16e-11
-9.67e-06,2.93e-11
-9.66e-06,3.14e-11
-9.64e-06,2.95e-11
-9.62e-06,3.04e-11
-9.6e-06,3.12e-11
-9.59e-06,3.01e-11
-9.57e-06,3.07e-11
-9.55e-06,3.04e-11
-9.54e-06,3.17e-11
-9.52e-06,3.07e-11
-9.5e-06,3.16e-11
-9.48e-06,3.21e-11
-9.47e-06,3.26e-11
-9.45e-06,3.2e-11
-9.43e-06,3.22e-11
-9.41e-06,3.35e-11
-9.39e-06,3.3e-11
-9.38e-06,3.45e-11
-9.36e-06,3.44e-11
-9.34e-06,3.56e-11
-9.32e-06,3.64e-11
-9.31e-06,3.54e-11
-9.29e-06,3.57e-11
-9.27e-06,3.62e-11
-9.25e-06,3.65e-11
-9.23e-06,3.66e-11
-9.22e-06,3.72e-11
-9.2e-06,3.71e-11
-9.18e-06,3.68e-11
-9.16e-06,3.72e-11
-9.14e-06,3.72e-11
-9.12e-06,3.79e-11
-9.11e-06,3.71e-11
-9.09e-06,3.82e-11
-9.07e-06,3.84e-11
-9.05e-06,3.88e-11
-9.03e-06,3.88e-11
-9.01e-06,3.84e-11
-9e-06,3.94e-11
-8.98e-06,3.77e-11
-8.96e-06,4.01e-11
-8.94e-06,4.11e-11
-8.92e-06,4.06e-11
-8.9e-06,4.19e-11
-8.88e-06,4.05e-11
-8.86e-06,4.17e-11
-8.85e-06,4.03e-11
