Ind_Ext,Force_Ext
-1.22e-05,5.69e-12
-1.22e-05,1.34e-11
-1.21e-05,1.73e-11
-1.21e-05,2.01e-11
-1.21e-05,2.23e-11
-1.21e-05,2.49e-11
-1.21e-05,2.67e-11
-1.21e-05,2.91e-11
-1.21e-05,3.1e-11
-1.21e-05,3.37e-11
-1.21e-05,3.58e-11
-1.21e-05,3.67e-11
-1.21e-05,4.04e-11
-1.2e-05,4.17e-11
-1.2e-05,4.34e-11
-1.2e-05,4.51e-11
-1.2e-05,4.72e-11
-1.2e-05,5.11e-11
-1.2e-05,5.13e-11
-1.2e-05,5.39e-11
-1.2e-05,5.45e-11
-1.2e-05,5.86e-11
-1.2e-05,5.94e-11
-1.2e-05,6.21e-11
-1.2e-05,6.39e-11
-1.19e-05,6.52e-11
-1.19e-05,6.67e-11
-1.19e-05,6.84e-11
-1.19e-05,7.15e-11
-1.19e-05,7.29e-11
-1.19e-05,7.6e-11
-1.19e-05,8e-11
-1.19e-05,8.1e-11
-1.19e-05,8.33e-11
-1.19e-05,8.46e-11
-1.18e-05,8.82e-11
-1.18e-05,8.9e-11
-1.18e-05,9.18e-11
-1.18e-05,9.39e-11
-1.18e-05,9.58e-11
-1.18e-05,9.73e-11
-1.18e-05,9.88e-11
-1.18e-05,1.01e-10
-1.18e-05,1.03e-10
-1.18e-05,1.06e-10
-1.17e-05,1.08e-10
-1.17e-05,1.1e-10
-1.17e-05,1.11e-10
-1.17e-05,1.12e-10
-1.17e-05,1.17e-10
-1.17e-05,1.16e-10
-1.17e-05,1.2e-10
-1.17e-05,1.2e-10
-1.17e-05,1.23e-10
-1.17e-05,1.26e-10
-1.16e-05,1.27e-10
-1.16e-05,1.3e-10
-1.16e-05,1.32e-10
-1.16e-05,1.34e-10
-1.16e-05,1.35e-10
-1.16e-05,1.37e-10
-1.16e-05,1.4e-10
-1.16e-05,1.4e-10
-1.16e-05,1.42e-10
-1.16e-05,1.42e-10
-1.15e-05,1.45e-10
-1.15e-05,1.46e-10
-1.15e-05,1.48e-10
-1.15e-05,1.48e-10
-1.15e-05,1.51e-10
-1.15e-05,1.53e-10
-1.15e-05,1.52e-10
-1.15e-05,1.54e-10
-1.15e-05,1.55e-10
-1.14e-05,1.57e-10
-1.14e-05,1.57e-10
-1.14e-05,1.59e-10
-1.14e-05,1.61e-10
-1.14e-05,1.62e-10
-1.14e-05,1.65e-10
-1.14e-05,1.64e-10
-1.14e-05,1.66e-10
-1.14e-05,1.67e-10
-1.13e-05,1.69e-10
-1.13e-05,1.69e-10
-1.13e-05,1.7e-10
-1.13e-05,1.71e-10
-1.13e-05,1.71e-10
-1.13e-05,1.73e-10
-1.13e-05,1.71e-10
-1.13e-05,1.74e-10
-1.12e-05,1.72e-10
-1.12e-05,1.74e-10
-1.12e-05,1.75e-10
-1.12e-05,1.75e-10
-1.12e-05,1.77e-10
-1.12e-05,1.75e-10
-1.12e-05,1.77e-10
-1.12e-05,1.77e-10
-1.11e-05,1.79e-10
-1.11e-05,1.82e-10
-1.11e-05,1.82e-10
-1.11e-05,1.83e-10
-1.11e-05,1.84e-10
-1.11e-05,1.87e-10
-1.11e-05,1.88e-10
-1.11e-05,1.9e-10
-1.1e-05,1.88e-10
-1.1e-05,1.89e-10
-1.1e-05,1.93e-10
-1.1e-05,1.92e-10
-1.1e-05,1.93e-10
-1.1e-05,1.93e-10
-1.1e-05,1.94e-10
-1.1e-05,1.93e-10
-1.09e-05,1.94e-10
-1.09e-05,1.95e-10
-1.09e-05,1.95e-10
-1.09e-05,1.97e-10
-1.09e-05,1.98e-10
-1.09e-05,1.99e-10
-1.09e-05,1.99e-10
-1.09e-05,2e-10
-1.08e-05,2.01e-10
-1.08e-05,2.01e-10
-1.08e-05,2.03e-10
-1.08e-05,2.04e-10
-1.08e-05,2.08e-10
-1.08e-05,2.08e-10
-1.08e-05,2.09e-10
-1.07e-05,2.1e-10
-1.07e-05,2.11e-10
-1.07e-05,2.13e-10
-1.07e-05,2.16e-10
-1.07e-05,2.19e-10
-1.07e-05,2.19e-10
-1.07e-05,2.22e-10
-1.06e-05,2.25e-10
-1.06e-05,2.27e-10
-1.06e-05,2.31e-10
-1.06e-05,2.32e-10
-1.06e-05,2.35e-10
-1.06e-05,2.38e-10
-1.06e-05,2.4e-10
-1.05e-05,2.43e-10
-1.05e-05,2.45e-10
-1.05e-05,2.45e-10
-1.05e-05,2.47e-10
-1.05e-05,2.49e-10
-1.05e-05,2.48e-10
-1.05e-05,2.52e-10
-1.04e-05,2.54e-10
-1.04e-05,2.56e-10
-1.04e-05,2.58e-10
-1.04e-05,2.6e-10
-1.04e-05,2.62e-10
-1.04e-05,2.62e-10
-1.03e-05,2.66e-10
-1.03e-05,2.67e-10
-1.03e-05,2.71e-10
-1.03e-05,2.71e-10
-1.03e-05,2.74e-10
-1.03e-05,2.78e-10
-1.03e-05,2.79e-10
-1.02e-05,2.82e-10
-1.02e-05,2.83e-10
-1.02e-05,2.87e-10
-1.02e-05,2.88e-10
-1.02e-05,2.91e-10
-1.02e-05,2.94e-10
-1.01e-05,2.94e-10
-1.01e-05,2.96e-10
-1.01e-05,3e-10
-1.01e-05,3.03e-10
-1.01e-05,3.03e-10
-1.01e-05,3.07e-10
-1e-05,3.09e-10
-1e-05,3.11e-10
-1e-05,3.13e-10
-1e-05,3.16e-10
-9.98e-06,3.17e-10
-9.97e-06,3.18e-10
-9.95e-06,3.21e-10
-9.94e-06,3.22e-10
-9.92e-06,3.22e-10
-9.9e-06,3.23e-10
-9.89e-06,3.25e-10
-9.87e-06,3.27e-10
-9.85e-06,3.28e-10
-9.84e-06,3.31e-10
-9.82e-06,3.31e-10
-9.8e-06,3.34e-10
-9.78e-06,3.35e-10
-9.77e-06,3.38e-10
-9.75e-06,3.4e-10
-9.73e-06,3.4e-10
-9.72e-06,3.43e-10
-9.7e-06,3.43e-10
-9.68e-06,3.45e-10
-9.66e-06,3.44e-10
-9.65e-06,3.48e-10
-9.63e-06,3.48e-10
-9.61e-06,3.48e-10
-9.6e-06,3.51e-10
-9.58e-06,3.51e-10
-9.56e-06,3.52e-10
-9.54e-06,3.53e-10
-9.52e-06,3.54e-10
-9.51e-06,3.55e-10
-9.49e-06,3.56e-10
-9.47e-06,3.56e-10
-9.45e-06,3.56e-10
-9.44e-06,3.58e-10
-9.42e-06,3.58e-10
-9.4e-06,3.59e-10
-9.38e-06,3.62e-10
-9.36e-06,3.62e-10
-9.35e-06,3.63e-10
-9.33e-06,3.63e-10
-9.31e-06,3.64e-10
-9.29e-06,3.64e-10
-9.27e-06,3.68e-10
-9.26e-06,3.67e-10
-9.24e-06,3.69e-10
-9.22e-06,3.69e-10
-9.2e-06,3.69e-10
-9.18e-06,3.7e-10
-9.16e-06,3.7e-10
-9.15e-06,3.7e-10
-9.13e-06,3.7e-10
-9.11e-06,3.7e-10
-9.09e-06,3.71e-10
-9.07e-06,3.72e-10
-9.05e-06,3.72e-10
-9.03e-06,3.72e-10
-9.01e-06,3.75e-10
-9e-06,3.75e-10
-8.98e-06,3.77e-10
-8.96e-06,3.78e-10
-8.94e-06,3.81e-10
-8.92e-06,3.8e-10
-8.9e-06,3.81e-10
-8.88e-06,3.83e-10
