Ind_Ext,Force_Ext
-1.19e-05,5.16e-12
-1.19e-05,7.78e-12
-1.19e-05,7.47e-12
-1.19e-05,7.84e-12
-1.18e-05,8.88e-12
-1.18e-05,9.32e-12
-1.18e-05,9.7e-12
-1.18e-05,9.67e-12
-1.18e-05,1.03e-11
-1.18e-05,8.71e-12
-1.18e-05,9.41e-12
-1.18e-05,9.48e-12
-1.18e-05,9.54e-12
-1.18e-05,9.4e-12
-1.18e-05,9.67e-12
-1.18e-05,8.95e-12
-1.17e-05,8.78e-12
-1.17e-05,8.87e-12
-1.17e-05,8.71e-12
-1.17e-05,9.16e-12
-1.17e-05,9.83e-12
-1.17e-05,9e-12
-1.17e-05,9.27e-12
-1.17e-05,9.52e-12
-1.17e-05,9.69e-12
-1.17e-05,9.45e-12
-1.16e-05,1.01e-11
-1.16e-05,1.07e-11
-1.16e-05,1.09e-11
-1.16e-05,1.05e-11
-1.16e-05,1.1e-11
-1.16e-05,1.14e-11
-1.16e-05,1.17e-11
-1.16e-05,1.22e-11
-1.16e-05,1.24e-11
-1.16e-05,1.23e-11
-1.15e-05,1.31e-11
-1.15e-05,1.28e-11
-1.15e-05,1.36e-11
-1.15e-05,1.44e-11
-1.15e-05,1.44e-11
-1.15e-05,1.45e-11
-1.15e-05,1.49e-11
-1.15e-05,1.46e-11
-1.15e-05,1.46e-11
-1.15e-05,1.55e-11
-1.14e-05,1.57e-11
-1.14e-05,1.63e-11
-1.14e-05,1.69e-11
-1.14e-05,1.82e-11
-1.14e-05,1.89e-11
-1.14e-05,1.89e-11
-1.14e-05,1.97e-11
-1.14e-05,1.9e-11
-1.14e-05,2.11e-11
-1.13e-05,2.11e-11
-1.13e-05,2.15e-11
-1.13e-05,2.11e-11
-1.13e-05,2.09e-11
-1.13e-05,2.19e-11
-1.13e-05,2.16e-11
-1.13e-05,2.32e-11
-1.13e-05,2.31e-11
-1.13e-05,2.41e-11
-1.12e-05,2.49e-11
-1.12e-05,2.65e-11
-1.12e-05,2.61e-11
-1.12e-05,2.68e-11
-1.12e-05,2.74e-11
-1.12e-05,2.74e-11
-1.12e-05,2.85e-11
-1.12e-05,2.85e-11
-1.12e-05,2.94e-11
-1.11e-05,3.04e-11
-1.11e-05,3.13e-11
-1.11e-05,3.23e-11
-1.11e-05,3.21e-11
-1.11e-05,3.35e-11
-1.11e-05,3.4e-11
-1.11e-05,3.46e-11
-1.11e-05,3.47e-11
-1.1e-05,3.5e-11
-1.1e-05,3.54e-11
-1.1e-05,3.58e-11
-1.1e-05,3.66e-11
-1.1e-05,3.66e-11
-1.1e-05,3.75e-11
-1.1e-05,3.75e-11
-1.1e-05,3.76e-11
-1.09e-05,3.77e-11
-1.09e-05,3.68e-11
-1.09e-05,3.89e-11
-1.09e-05,3.72e-11
-1.09e-05,3.81e-11
-1.09e-05,3.78e-11
-1.09e-05,3.81e-11
-1.09e-05,3.89e-11
-1.08e-05,3.86e-11
-1.08e-05,3.98e-11
-1.08e-05,3.92e-11
-1.08e-05,4.03e-11
-1.08e-05,4.07e-11
-1.08e-05,4.1e-11
-1.08e-05,4.21e-11
-1.08e-05,4.27e-11
-1.07e-05,4.32e-11
-1.07e-05,4.27e-11
-1.07e-05,4.42e-11
-1.07e-05,4.46e-11
-1.07e-05,4.61e-11
-1.07e-05,4.62e-11
-1.07e-05,4.65e-11
-1.06e-05,4.77e-11
-1.06e-05,4.83e-11
-1.06e-05,4.89e-11
-1.06e-05,4.84e-11
-1.06e-05,4.95e-11
-1.06e-05,4.9e-11
-1.06e-05,5.06e-11
-1.05e-05,5.14e-11
-1.05e-05,5.06e-11
-1.05e-05,5.17e-11
-1.05e-05,5.28e-11
-1.05e-05,5.26e-11
-1.05e-05,5.35e-11
-1.05e-05,5.41e-11
-1.04e-05,5.54e-11
-1.04e-05,5.55e-11
-1.04e-05,5.76e-11
-1.04e-05,5.67e-11
-1.04e-05,5.83e-11
-1.04e-05,5.76e-11
-1.04e-05,5.93e-11
-1.03e-05,5.83e-11
-1.03e-05,5.98e-11
-1.03e-05,6.05e-11
-1.03e-05,6.05e-11
-1.03e-05,6.11e-11
-1.03e-05,6.08e-11
-1.03e-05,6.27e-11
-1.02e-05,6.3e-11
-1.02e-05,6.31e-11
-1.02e-05,6.36e-11
-1.02e-05,6.4e-11
-1.02e-05,6.5e-11
-1.02e-05,6.54e-11
-1.01e-05,6.6e-11
-1.01e-05,6.53e-11
-1.01e-05,6.56e-11
-1.01e-05,6.62e-11
-1.01e-05,6.64e-11
-1.01e-05,6.68e-11
-1.01e-05,6.68e-11
-1e-05,6.77e-11
-1e-05,6.77e-11
-1e-05,6.94e-11
-9.99e-06,6.9e-11
-9.98e-06,6.94e-11
-9.96e-06,6.95e-11
-9.94e-06,7.01e-11
-9.93e-06,7.01e-11
-9.91e-06,7.04e-11
-9.9e-06,6.98e-11
-9.88e-06,7.03e-11
-9.86e-06,7.02e-11
-9.85e-06,7.05e-11
-9.83e-06,7.15e-11
-9.81e-06,7.15e-11
-9.8e-06,7.1e-11
-9.78e-06,7.23e-11
-9.76e-06,7.06e-11
-9.75e-06,7.21e-11
-9.73e-06,7.26e-11
-9.71e-06,7.21e-11
-9.7e-06,7.2e-11
-9.68e-06,7.17e-11
-9.66e-06,7.29e-11
-9.65e-06,7.2e-11
-9.63e-06,7.25e-11
-9.61e-06,7.25e-11
-9.6e-06,7.31e-11
-9.58e-06,7.3e-11
-9.56e-06,7.29e-11
-9.55e-06,7.39e-11
-9.53e-06,7.27e-11
-9.51e-06,7.33e-11
-9.49e-06,7.21e-11
-9.48e-06,7.28e-11
-9.46e-06,7.29e-11
-9.44e-06,7.27e-11
-9.42e-06,7.17e-11
-9.41e-06,7.13e-11
-9.39e-06,7.13e-11
-9.37e-06,7.15e-11
-9.35e-06,7.17e-11
-9.34e-06,7.19e-11
-9.32e-06,7.15e-11
-9.3e-06,7.25e-11
-9.28e-06,7.17e-11
-9.27e-06,7.2e-11
-9.25e-06,7.08e-11
-9.23e-06,7.11e-11
-9.21e-06,7e-11
-9.19e-06,6.96e-11
-9.18e-06,6.98e-11
-9.16e-06,6.9e-11
-9.14e-06,6.99e-11
-9.12e-06,6.84e-11
-9.1e-06,6.88e-11
-9.08e-06,6.8e-11
-9.07e-06,6.81e-11
-9.05e-06,6.72e-11
-9.03e-06,6.69e-11
-9.01e-06,6.65e-11
-8.99e-06,6.61e-11
-8.97e-06,6.64e-11
-8.96e-06,6.57e-11
-8.94e-06,6.55e-11
-8.92e-06,6.49e-11
-8.9e-06,6.46e-11
-8.88e-06,6.39e-11
-8.86e-06,6.32e-11
-8.84e-06,6.34e-11
-8.83e-06,6.29e-11
-8.81e-06,6.21e-11
-8.79e-06,6.16e-11
-8.77e-06,6.09e-11
-8.75e-06,6.07e-11
-8.73e-06,6.07e-11
-8.71e-06,6.1e-11
-8.69e-06,6.06e-11
-8.67e-06,5.95e-11
-8.65e-06,5.89e-11
-8.64e-06,5.86e-11
-8.62e-06,5.9e-11
-8.6e-06,5.77e-11
-8.58e-06,5.77e-11
-8.56e-06,5.55e-11
-8.54e-06,5.61e-11
-8.52e-06,5.51e-11
