Ind_Ext,Force_Ext
-1.21e-05,2.18e-12
-1.21e-05,4.74e-12
-1.2e-05,5.16e-12
-1.2e-05,4.87e-12
-1.2e-05,5.95e-12
-1.2e-05,5.32e-12
-1.2e-05,5.37e-12
-1.2e-05,4.94e-12
-1.2e-05,4.36e-12
-1.2e-05,4.69e-12
-1.2e-05,4.72e-12
-1.2e-05,4.87e-12
-1.2e-05,4.56e-12
-1.2e-05,5.73e-12
-1.19e-05,4.6e-12
-1.19e-05,6.33e-12
-1.19e-05,6.86e-12
-1.19e-05,6.72e-12
-1.19e-05,6.52e-12
-1.19e-05,5.78e-12
-1.19e-05,6.99e-12
-1.19e-05,6.19e-12
-1.19e-05,6.72e-12
-1.19e-05,7.43e-12
-1.19e-05,6.66e-12
-1.18e-05,8.55e-12
-1.18e-05,6.75e-12
-1.18e-05,8.09e-12
-1.18e-05,7.77e-12
-1.18e-05,7.85e-12
-1.18e-05,8.03e-12
-1.18e-05,8.35e-12
-1.18e-05,9.77e-12
-1.18e-05,8.19e-12
-1.18e-05,9.33e-12
-1.17e-05,8.34e-12
-1.17e-05,9.32e-12
-1.17e-05,8.1e-12
-1.17e-05,7.92e-12
-1.17e-05,7.99e-12
-1.17e-05,7.49e-12
-1.17e-05,9.04e-12
-1.17e-05,9.05e-12
-1.17e-05,8.72e-12
-1.17e-05,8.39e-12
-1.16e-05,9.01e-12
-1.16e-05,9.25e-12
-1.16e-05,7.97e-12
-1.16e-05,8.72e-12
-1.16e-05,9.15e-12
-1.16e-05,8.86e-12
-1.16e-05,8.9e-12
-1.16e-05,8.89e-12
-1.16e-05,8.33e-12
-1.16e-05,8.47e-12
-1.15e-05,8.2e-12
-1.15e-05,7.82e-12
-1.15e-05,8.65e-12
-1.15e-05,8.44e-12
-1.15e-05,9.69e-12
-1.15e-05,1e-11
-1.15e-05,9.31e-12
-1.15e-05,8.91e-12
-1.15e-05,9.33e-12
-1.14e-05,9.71e-12
-1.14e-05,8.15e-12
-1.14e-05,9.42e-12
-1.14e-05,9.97e-12
-1.14e-05,8.84e-12
-1.14e-05,9.66e-12
-1.14e-05,9.28e-12
-1.14e-05,1.08e-11
-1.14e-05,9.18e-12
-1.13e-05,1.02e-11
-1.13e-05,9.73e-12
-1.13e-05,9.61e-12
-1.13e-05,9.63e-12
-1.13e-05,9.5e-12
-1.13e-05,1.08e-11
-1.13e-05,9.67e-12
-1.13e-05,1.05e-11
-1.12e-05,1.06e-11
-1.12e-05,1.06e-11
-1.12e-05,1.12e-11
-1.12e-05,1.12e-11
-1.12e-05,1.15e-11
-1.12e-05,1.18e-11
-1.12e-05,1.28e-11
-1.12e-05,1.21e-11
-1.12e-05,1.12e-11
-1.11e-05,1.09e-11
-1.11e-05,1.13e-11
-1.11e-05,1.14e-11
-1.11e-05,1.2e-11
-1.11e-05,1.26e-11
-1.11e-05,1.3e-11
-1.11e-05,1.23e-11
-1.11e-05,1.24e-11
-1.1e-05,1.29e-11
-1.1e-05,1.25e-11
-1.1e-05,1.13e-11
-1.1e-05,1.3e-11
-1.1e-05,1.29e-11
-1.1e-05,1.34e-11
-1.1e-05,1.28e-11
-1.1e-05,1.32e-11
-1.09e-05,1.29e-11
-1.09e-05,1.21e-11
-1.09e-05,1.29e-11
-1.09e-05,1.28e-11
-1.09e-05,1.39e-11
-1.09e-05,1.36e-11
-1.09e-05,1.45e-11
-1.08e-05,1.51e-11
