Ind_Ext,Force_Ext
-1.19e-05,-8.65e-13
-1.19e-05,1.08e-12
-1.19e-05,1.53e-12
-1.19e-05,5.5e-13
-1.19e-05,1.91e-12
-1.19e-05,1.35e-12
-1.19e-05,1.37e-12
-1.19e-05,1.95e-12
-1.18e-05,2.08e-12
-1.18e-05,2.24e-12
-1.18e-05,3.1e-12
-1.18e-05,3.38e-12
-1.18e-05,2.79e-12
-1.18e-05,3.92e-12
-1.18e-05,3.92e-12
-1.18e-05,4.37e-12
-1.18e-05,4.55e-12
-1.18e-05,4.27e-12
-1.18e-05,4.4e-12
-1.17e-05,4.07e-12
-1.17e-05,5.42e-12
-1.17e-05,5.25e-12
-1.17e-05,6.88e-12
-1.17e-05,5.21e-12
-1.17e-05,5.52e-12
-1.17e-05,5.95e-12
-1.17e-05,5.72e-12
-1.17e-05,6.9e-12
-1.17e-05,4.98e-12
-1.16e-05,5.56e-12
-1.16e-05,5.68e-12
-1.16e-05,6.29e-12
-1.16e-05,5.59e-12
-1.16e-05,5.4e-12
-1.16e-05,5.92e-12
-1.16e-05,5.41e-12
-1.16e-05,7.4e-12
-1.16e-05,5.5e-12
-1.16e-05,6.01e-12
-1.15e-05,5.8e-12
-1.15e-05,6.66e-12
-1.15e-05,7.16e-12
-1.15e-05,6.48e-12
-1.15e-05,7.04e-12
-1.15e-05,5.51e-12
-1.15e-05,5.73e-12
-1.15e-05,5.51e-12
-1.15e-05,4.75e-12
-1.15e-05,4.93e-12
-1.14e-05,5.37e-12
-1.14e-05,5.27e-12
-1.14e-05,5.24e-12
-1.14e-05,4.98e-12
-1.14e-05,4.77e-12
-1.14e-05,4.91e-12
-1.14e-05,4.6e-12
-1.14e-05,4.48e-12
-1.14e-05,4.03e-12
-1.13e-05,4.3e-12
-1.13e-05,4.08e-12
-1.13e-05,2.41e-12
-1.13e-05,2.96e-12
-1.13e-05,3.5e-12
-1.13e-05,2.37e-12
-1.13e-05,2.44e-12
-1.13e-05,2.15e-12
-1.13e-05,3.11e-12
-1.12e-05,2.61e-12
-1.12e-05,2.11e-12
-1.12e-05,3.06e-12
-1.12e-05,3.2e-12
-1.12e-05,2.37e-12
-1.12e-05,2.64e-12
-1.12e-05,2.88e-12
-1.12e-05,3.21e-12
-1.12e-05,3.95e-12
-1.11e-05,2.82e-12
-1.11e-05,2.9e-12
-1.11e-05,2.66e-12
-1.11e-05,3.69e-12
-1.11e-05,2.96e-12
-1.11e-05,3.02e-12
-1.11e-05,3.18e-12
-1.11e-05,3.61e-12
-1.1e-05,3.38e-12
-1.1e-05,2.65e-12
-1.1e-05,2.76e-12
-1.1e-05,2.81e-12
-1.1e-05,3.01e-12
-1.1e-05,3.39e-12
-1.1e-05,3.65e-12
-1.1e-05,4.09e-12
-1.09e-05,3.59e-12
-1.09e-05,3.54e-12
-1.09e-05,4.17e-12
-1.09e-05,3.09e-12
-1.09e-05,3.05e-12
