Ind_Ext,Force_Ext
-1.19e-05,4.49e-12
-1.19e-05,6.25e-12
-1.19e-05,6.1e-12
-1.19e-05,7.01e-12
-1.19e-05,7.89e-12
-1.19e-05,8.68e-12
-1.19e-05,9.6e-12
-1.19e-05,9.98e-12
-1.19e-05,1.01e-11
-1.19e-05,1.08e-11
-1.19e-05,9.62e-12
-1.19e-05,1.05e-11
-1.18e-05,1.07e-11
-1.18e-05,1.1e-11
-1.18e-05,1.03e-11
-1.18e-05,1.06e-11
-1.18e-05,1.16e-11
-1.18e-05,1.07e-11
-1.18e-05,1.08e-11
-1.18e-05,9.78e-12
-1.18e-05,1.06e-11
-1.18e-05,9.42e-12
-1.17e-05,9.9e-12
-1.17e-05,9.03e-12
-1.17e-05,8.92e-12
-1.17e-05,9.39e-12
-1.17e-05,8.89e-12
-1.17e-05,9.7e-12
-1.17e-05,9.03e-12
-1.17e-05,9.17e-12
-1.17e-05,9.27e-12
-1.17e-05,9.06e-12
-1.17e-05,9.81e-12
-1.16e-05,8.68e-12
-1.16e-05,9.65e-12
-1.16e-05,9.55e-12
-1.16e-05,9.25e-12
-1.16e-05,1.01e-11
-1.16e-05,9.37e-12
-1.16e-05,1.01e-11
-1.16e-05,1.04e-11
-1.16e-05,1.13e-11
-1.15e-05,1.18e-11
-1.15e-05,1.34e-11
-1.15e-05,1.29e-11
-1.15e-05,1.32e-11
-1.15e-05,1.45e-11
-1.15e-05,1.33e-11
-1.15e-05,1.35e-11
-1.15e-05,1.44e-11
-1.15e-05,1.49e-11
-1.15e-05,1.53e-11
-1.14e-05,1.7e-11
-1.14e-05,1.69e-11
-1.14e-05,1.71e-11
-1.14e-05,1.79e-11
-1.14e-05,1.8e-11
-1.14e-05,1.85e-11
-1.14e-05,1.94e-11
-1.14e-05,1.93e-11
-1.14e-05,1.97e-11
-1.13e-05,2.09e-11
-1.13e-05,2.06e-11
-1.13e-05,2.07e-11
-1.13e-05,2.15e-11
-1.13e-05,2.15e-11
-1.13e-05,2.19e-11
-1.13e-05,2.12e-11
-1.13e-05,2.25e-11
-1.13e-05,2.26e-11
-1.12e-05,2.33e-11
-1.12e-05,2.41e-11
-1.12e-05,2.41e-11
-1.12e-05,2.56e-11
-1.12e-05,2.47e-11
-1.12e-05,2.75e-11
-1.12e-05,2.73e-11
-1.12e-05,2.82e-11
-1.12e-05,2.95e-11
-1.11e-05,3.01e-11
-1.11e-05,3.09e-11
-1.11e-05,3.02e-11
-1.11e-05,3.17e-11
-1.11e-05,3.16e-11
-1.11e-05,3.25e-11
-1.11e-05,3.24e-11
-1.11e-05,3.3e-11
-1.1e-05,3.32e-11
-1.1e-05,3.29e-11
-1.1e-05,3.39e-11
-1.1e-05,3.33e-11
-1.1e-05,3.36e-11
-1.1e-05,3.43e-11
-1.1e-05,3.46e-11
-1.1e-05,3.41e-11
-1.09e-05,3.5e-11
-1.09e-05,3.49e-11
-1.09e-05,3.49e-11
-1.09e-05,3.54e-11
-1.09e-05,3.55e-11
-1.09e-05,3.62e-11
-1.09e-05,3.52e-11
-1.09e-05,3.63e-11
-1.08e-05,3.64e-11
-1.08e-05,3.56e-11
-1.08e-05,3.71e-11
-1.08e-05,3.6e-11
-1.08e-05,3.71e-11
-1.08e-05,3.7e-11
-1.08e-05,3.7e-11
-1.07e-05,3.75e-11
-1.07e-05,3.71e-11
-1.07e-05,3.82e-11
-1.07e-05,3.7e-11
-1.07e-05,3.87e-11
-1.07e-05,3.91e-11
-1.07e-05,3.91e-11
-1.07e-05,3.97e-11
-1.06e-05,4.03e-11
-1.06e-05,4.11e-11
-1.06e-05,4.13e-11
-1.06e-05,4.26e-11
-1.06e-05,4.39e-11
-1.06e-05,4.48e-11
-1.06e-05,4.49e-11
-1.05e-05,4.53e-11
-1.05e-05,4.68e-11
-1.05e-05,4.64e-11
-1.05e-05,4.75e-11
-1.05e-05,4.81e-11
-1.05e-05,4.9e-11
-1.05e-05,4.9e-11
-1.04e-05,5.07e-11
-1.04e-05,5.13e-11
-1.04e-05,5.12e-11
-1.04e-05,5.25e-11
-1.04e-05,5.13e-11
-1.04e-05,5.32e-11
-1.04e-05,5.26e-11
-1.03e-05,5.23e-11
-1.03e-05,5.39e-11
-1.03e-05,5.4e-11
-1.03e-05,5.36e-11
-1.03e-05,5.38e-11
-1.03e-05,5.48e-11
-1.02e-05,5.53e-11
-1.02e-05,5.55e-11
-1.02e-05,5.55e-11
-1.02e-05,5.59e-11
-1.02e-05,5.66e-11
-1.02e-05,5.66e-11
-1.02e-05,5.76e-11
-1.01e-05,5.78e-11
-1.01e-05,5.81e-11
-1.01e-05,5.88e-11
-1.01e-05,6.02e-11
-1.01e-05,6.06e-11
-1.01e-05,6.15e-11
-1e-05,6.25e-11
-1e-05,6.22e-11
-1e-05,6.42e-11
-1e-05,6.37e-11
-9.98e-06,6.31e-11
-9.97e-06,6.29e-11
-9.95e-06,6.45e-11
-9.94e-06,6.65e-11
-9.92e-06,6.45e-11
-9.9e-06,6.64e-11
-9.89e-06,6.67e-11
-9.87e-06,6.68e-11
-9.85e-06,6.62e-11
-9.84e-06,6.71e-11
-9.82e-06,6.78e-11
-9.8e-06,6.79e-11
-9.79e-06,6.88e-11
-9.77e-06,6.77e-11
-9.75e-06,6.85e-11
-9.74e-06,6.86e-11
-9.72e-06,7.03e-11
-9.7e-06,7.08e-11
-9.69e-06,6.98e-11
-9.67e-06,7.04e-11
-9.65e-06,6.93e-11
-9.64e-06,7e-11
-9.62e-06,6.99e-11
-9.6e-06,7.01e-11
-9.59e-06,7.18e-11
-9.57e-06,7.25e-11
-9.55e-06,7.21e-11
-9.53e-06,7.28e-11
-9.52e-06,7.32e-11
-9.5e-06,7.32e-11
