Ind_Ext,Force_Ext
-1.17e-05,7.2e-12
-1.16e-05,5.02e-12
-1.16e-05,5.57e-12
-1.16e-05,5.29e-12
-1.16e-05,4.7e-12
-1.16e-05,4.46e-12
-1.16e-05,4.68e-12
-1.16e-05,5.4e-12
-1.16e-05,5.18e-12
-1.16e-05,5.43e-12
-1.16e-05,4.82e-12
-1.15e-05,5.28e-12
-1.15e-05,5.93e-12
-1.15e-05,6.33e-12
-1.15e-05,7.1e-12
-1.15e-05,6.51e-12
-1.15e-05,6.88e-12
-1.15e-05,5.92e-12
-1.15e-05,6.21e-12
-1.15e-05,6.83e-12
-1.15e-05,7.54e-12
-1.14e-05,7.18e-12
-1.14e-05,6.16e-12
-1.14e-05,7.4e-12
-1.14e-05,7.44e-12
-1.14e-05,7.44e-12
-1.14e-05,7.62e-12
-1.14e-05,8.1e-12
-1.14e-05,8.07e-12
-1.14e-05,7.43e-12
-1.13e-05,7.78e-12
-1.13e-05,8.35e-12
-1.13e-05,7.98e-12
-1.13e-05,7.51e-12
-1.13e-05,8.2e-12
-1.13e-05,9.01e-12
-1.13e-05,8.44e-12
-1.13e-05,9.04e-12
-1.13e-05,8.87e-12
-1.12e-05,1.01e-11
-1.12e-05,9.7e-12
-1.12e-05,1.03e-11
-1.12e-05,1.05e-11
-1.12e-05,1e-11
-1.12e-05,1.07e-11
-1.12e-05,1.14e-11
-1.12e-05,1.2e-11
-1.12e-05,1.14e-11
-1.11e-05,1.17e-11
-1.11e-05,1.16e-11
-1.11e-05,1.22e-11
-1.11e-05,1.29e-11
-1.11e-05,1.19e-11
-1.11e-05,1.38e-11
-1.11e-05,1.36e-11
-1.11e-05,1.38e-11
-1.1e-05,1.35e-11
-1.1e-05,1.38e-11
-1.1e-05,1.36e-11
-1.1e-05,1.36e-11
-1.1e-05,1.36e-11
-1.1e-05,1.39e-11
-1.1e-05,1.43e-11
-1.1e-05,1.34e-11
-1.09e-05,1.41e-11
-1.09e-05,1.46e-11
-1.09e-05,1.47e-11
-1.09e-05,1.47e-11
-1.09e-05,1.46e-11
-1.09e-05,1.43e-11
-1.09e-05,1.39e-11
-1.09e-05,1.45e-11
-1.08e-05,1.47e-11
-1.08e-05,1.54e-11
-1.08e-05,1.46e-11
-1.08e-05,1.53e-11
-1.08e-05,1.59e-11
-1.08e-05,1.52e-11
-1.08e-05,1.51e-11
-1.08e-05,1.51e-11
-1.07e-05,1.56e-11
-1.07e-05,1.57e-11
-1.07e-05,1.56e-11
-1.07e-05,1.48e-11
-1.07e-05,1.44e-11
-1.07e-05,1.47e-11
-1.07e-05,1.46e-11
-1.06e-05,1.54e-11
-1.06e-05,1.47e-11
-1.06e-05,1.4e-11
-1.06e-05,1.41e-11
-1.06e-05,1.46e-11
-1.06e-05,1.49e-11
-1.06e-05,1.49e-11
-1.05e-05,1.51e-11
-1.05e-05,1.51e-11
-1.05e-05,1.58e-11
-1.05e-05,1.44e-11
-1.05e-05,1.51e-11
-1.05e-05,1.55e-11
-1.05e-05,1.53e-11
-1.04e-05,1.55e-11
-1.04e-05,1.48e-11
-1.04e-05,1.51e-11
-1.04e-05,1.52e-11
-1.04e-05,1.51e-11
-1.04e-05,1.51e-11
-1.04e-05,1.51e-11
-1.03e-05,1.52e-11
-1.03e-05,1.51e-11
-1.03e-05,1.63e-11
-1.03e-05,1.55e-11
-1.03e-05,1.66e-11
-1.03e-05,1.54e-11
-1.03e-05,1.63e-11
-1.02e-05,1.74e-11
-1.02e-05,1.76e-11
-1.02e-05,1.75e-11
-1.02e-05,1.79e-11
-1.02e-05,1.79e-11
-1.02e-05,1.75e-11
-1.01e-05,1.8e-11
