Ind_Ext,Force_Ext
-1.2e-05,1.31e-13
-1.2e-05,4.67e-12
-1.2e-05,3.53e-12
-1.2e-05,4.68e-12
-1.19e-05,4.33e-12
-1.19e-05,4.27e-12
-1.19e-05,5.8e-12
-1.19e-05,4.14e-12
-1.19e-05,6.27e-12
-1.19e-05,6.47e-12
-1.19e-05,7.71e-12
-1.19e-05,7.47e-12
-1.19e-05,7.52e-12
-1.19e-05,8.46e-12
-1.19e-05,8.08e-12
-1.19e-05,9.37e-12
-1.18e-05,8.82e-12
-1.18e-05,1.06e-11
-1.18e-05,8.33e-12
-1.18e-05,8.97e-12
-1.18e-05,7.83e-12
-1.18e-05,8.13e-12
-1.18e-05,7.92e-12
-1.18e-05,6.74e-12
-1.18e-05,8.07e-12
-1.18e-05,6.81e-12
-1.17e-05,6.94e-12
-1.17e-05,6.06e-12
-1.17e-05,6.28e-12
-1.17e-05,7.14e-12
-1.17e-05,6.33e-12
-1.17e-05,6.49e-12
-1.17e-05,6.58e-12
-1.17e-05,6.71e-12
-1.17e-05,6.94e-12
-1.17e-05,6.5e-12
-1.17e-05,7.38e-12
-1.16e-05,6.62e-12
-1.16e-05,7.36e-12
-1.16e-05,6.78e-12
-1.16e-05,7.19e-12
-1.16e-05,6.62e-12
-1.16e-05,6.66e-12
-1.16e-05,7.73e-12
-1.16e-05,7.13e-12
-1.16e-05,7.51e-12
-1.15e-05,8.04e-12
-1.15e-05,8.44e-12
-1.15e-05,8.65e-12
-1.15e-05,9.15e-12
-1.15e-05,1e-11
-1.15e-05,9.38e-12
-1.15e-05,1.12e-11
-1.15e-05,1.09e-11
-1.15e-05,1.15e-11
-1.15e-05,1.19e-11
-1.14e-05,1.26e-11
-1.14e-05,1.41e-11
-1.14e-05,1.34e-11
-1.14e-05,1.49e-11
-1.14e-05,1.44e-11
-1.14e-05,1.67e-11
-1.14e-05,1.58e-11
-1.14e-05,1.8e-11
-1.14e-05,2e-11
-1.13e-05,2e-11
