Ind_Ext,Force_Ext
-1.2e-05,1.32e-12
-1.2e-05,4.84e-12
-1.2e-05,5.39e-12
-1.19e-05,5.83e-12
-1.19e-05,4.88e-12
-1.19e-05,4.74e-12
-1.19e-05,4.03e-12
-1.19e-05,4.16e-12
-1.19e-05,4.63e-12
-1.19e-05,3.58e-12
-1.19e-05,4.53e-12
-1.19e-05,4.61e-12
-1.19e-05,5.05e-12
-1.19e-05,4.84e-12
-1.18e-05,4.42e-12
-1.18e-05,3.91e-12
-1.18e-05,4.38e-12
-1.18e-05,3.66e-12
-1.18e-05,4.15e-12
-1.18e-05,4.48e-12
-1.18e-05,4.82e-12
-1.18e-05,6.08e-12
-1.18e-05,6.22e-12
-1.18e-05,6.4e-12
-1.18e-05,6.81e-12
-1.17e-05,6.49e-12
-1.17e-05,7.02e-12
-1.17e-05,6.44e-12
-1.17e-05,7e-12
-1.17e-05,6.69e-12
-1.17e-05,7.48e-12
-1.17e-05,7.35e-12
-1.17e-05,7.68e-12
-1.17e-05,7.82e-12
-1.17e-05,7.76e-12
-1.16e-05,7.9e-12
-1.16e-05,7e-12
-1.16e-05,8.4e-12
-1.16e-05,7.79e-12
-1.16e-05,8.52e-12
-1.16e-05,7.39e-12
-1.16e-05,6.99e-12
-1.16e-05,6.87e-12
-1.16e-05,6.25e-12
-1.16e-05,7.08e-12
-1.15e-05,5.87e-12
-1.15e-05,5.82e-12
-1.15e-05,6.69e-12
-1.15e-05,6.93e-12
-1.15e-05,7.35e-12
-1.15e-05,5.45e-12
-1.15e-05,7.14e-12
-1.15e-05,6e-12
-1.15e-05,7.24e-12
-1.15e-05,8.11e-12
-1.14e-05,7.33e-12
-1.14e-05,7.56e-12
-1.14e-05,6.35e-12
-1.14e-05,7.06e-12
-1.14e-05,6.6e-12
-1.14e-05,7.92e-12
-1.14e-05,7.57e-12
-1.14e-05,6.48e-12
-1.14e-05,7.62e-12
-1.13e-05,6.39e-12
-1.13e-05,8.09e-12
-1.13e-05,7.42e-12
-1.13e-05,8.75e-12
-1.13e-05,7.95e-12
-1.13e-05,7.96e-12
-1.13e-05,8.32e-12
-1.13e-05,7.73e-12
-1.13e-05,8.9e-12
-1.12e-05,8.07e-12
-1.12e-05,8.24e-12
-1.12e-05,8.51e-12
-1.12e-05,8.16e-12
-1.12e-05,9.62e-12
-1.12e-05,8.73e-12
-1.12e-05,9.09e-12
-1.12e-05,9.05e-12
-1.11e-05,9.74e-12
-1.11e-05,9.31e-12
-1.11e-05,9.81e-12
-1.11e-05,9.77e-12
-1.11e-05,9.75e-12
-1.11e-05,1.02e-11
-1.11e-05,9.67e-12
-1.11e-05,1.06e-11
-1.1e-05,1.05e-11
-1.1e-05,1.11e-11
-1.1e-05,1.06e-11
-1.1e-05,9.52e-12
-1.1e-05,1.09e-11
-1.1e-05,1.01e-11
-1.1e-05,1.02e-11
-1.1e-05,9.8e-12
-1.09e-05,1.09e-11
-1.09e-05,1.14e-11
-1.09e-05,1.16e-11
-1.09e-05,1.15e-11
-1.09e-05,1.18e-11
-1.09e-05,1.31e-11
-1.09e-05,1.21e-11
-1.09e-05,1.16e-11
-1.08e-05,1.13e-11
-1.08e-05,1.33e-11
-1.08e-05,1.12e-11
-1.08e-05,1.21e-11
-1.08e-05,1.33e-11
-1.08e-05,1.33e-11
-1.08e-05,1.36e-11
-1.08e-05,1.38e-11
-1.07e-05,1.34e-11
-1.07e-05,1.38e-11
-1.07e-05,1.4e-11
-1.07e-05,1.45e-11
-1.07e-05,1.37e-11
-1.07e-05,1.44e-11
-1.07e-05,1.4e-11
-1.06e-05,1.45e-11
-1.06e-05,1.41e-11
-1.06e-05,1.44e-11
-1.06e-05,1.45e-11
-1.06e-05,1.42e-11
-1.06e-05,1.42e-11
-1.06e-05,1.45e-11
-1.05e-05,1.54e-11
-1.05e-05,1.41e-11
-1.05e-05,1.5e-11
-1.05e-05,1.46e-11
-1.05e-05,1.57e-11
-1.05e-05,1.57e-11
-1.05e-05,1.53e-11
-1.04e-05,1.73e-11
-1.04e-05,1.64e-11
-1.04e-05,1.78e-11
-1.04e-05,1.72e-11
-1.04e-05,1.7e-11
-1.04e-05,1.77e-11
-1.04e-05,1.74e-11
-1.03e-05,1.77e-11
-1.03e-05,1.85e-11
-1.03e-05,1.95e-11
-1.03e-05,1.84e-11
-1.03e-05,1.93e-11
-1.03e-05,1.98e-11
-1.03e-05,1.93e-11
-1.02e-05,2.09e-11
-1.02e-05,2.11e-11
-1.02e-05,2.21e-11
