Ind_Ext,Force_Ext
-1.23e-05,9.24e-13
-1.23e-05,6.22e-12
-1.22e-05,6.59e-12
-1.22e-05,6.77e-12
-1.22e-05,6.71e-12
-1.22e-05,6.8e-12
-1.22e-05,7.82e-12
-1.22e-05,6.7e-12
-1.22e-05,6.41e-12
-1.22e-05,8.17e-12
-1.22e-05,7.49e-12
-1.22e-05,7.92e-12
-1.22e-05,7.56e-12
-1.22e-05,7.53e-12
-1.21e-05,8.47e-12
-1.21e-05,7.06e-12
-1.21e-05,7.99e-12
-1.21e-05,7.94e-12
-1.21e-05,9.16e-12
-1.21e-05,8.5e-12
-1.21e-05,8.24e-12
-1.21e-05,8.42e-12
-1.21e-05,7.9e-12
-1.21e-05,8.45e-12
-1.21e-05,8.21e-12
-1.2e-05,8.87e-12
-1.2e-05,9.27e-12
-1.2e-05,7.75e-12
-1.2e-05,1.01e-11
-1.2e-05,8.94e-12
-1.2e-05,9.01e-12
-1.2e-05,8.71e-12
-1.2e-05,1.01e-11
-1.2e-05,9.75e-12
-1.2e-05,8.94e-12
-1.2e-05,1.04e-11
-1.19e-05,9.09e-12
-1.19e-05,9.38e-12
-1.19e-05,9.47e-12
-1.19e-05,9.84e-12
-1.19e-05,8.77e-12
-1.19e-05,8.92e-12
-1.19e-05,9.51e-12
-1.19e-05,9.03e-12
-1.19e-05,8.42e-12
-1.19e-05,8.27e-12
-1.18e-05,8.86e-12
-1.18e-05,7.48e-12
-1.18e-05,8.8e-12
-1.18e-05,9.51e-12
-1.18e-05,8.61e-12
-1.18e-05,8.95e-12
-1.18e-05,8.85e-12
-1.18e-05,1.06e-11
-1.18e-05,7.01e-12
-1.18e-05,9.67e-12
-1.17e-05,9.63e-12
-1.17e-05,1.05e-11
-1.17e-05,1.11e-11
-1.17e-05,1.15e-11
-1.17e-05,1.2e-11
-1.17e-05,1.1e-11
-1.17e-05,1.31e-11
-1.17e-05,1.3e-11
-1.17e-05,1.32e-11
-1.16e-05,1.29e-11
-1.16e-05,1.34e-11
-1.16e-05,1.45e-11
-1.16e-05,1.45e-11
-1.16e-05,1.54e-11
-1.16e-05,1.46e-11
-1.16e-05,1.54e-11
-1.16e-05,1.63e-11
-1.16e-05,1.6e-11
-1.16e-05,1.71e-11
-1.15e-05,1.6e-11
-1.15e-05,1.61e-11
-1.15e-05,1.69e-11
-1.15e-05,1.88e-11
-1.15e-05,1.8e-11
-1.15e-05,1.89e-11
-1.15e-05,1.94e-11
-1.15e-05,1.94e-11
-1.15e-05,2.06e-11
-1.14e-05,1.99e-11
-1.14e-05,2.14e-11
-1.14e-05,2.12e-11
-1.14e-05,2.07e-11
-1.14e-05,2.2e-11
-1.14e-05,2.27e-11
-1.14e-05,2.27e-11
-1.14e-05,2.22e-11
-1.13e-05,2.26e-11
